ja-JP-Wavenet-A_Iphone6Plus-HCP-400-2014-076-00	15時30分頃に、製造事業所製油一課員が日常点検において窒素供給設備液化窒素貯槽の受入液化窒素上部充てん弁下流の配管より窒素ガスが漏れているのを発見した。
ja-JP-Wavenet-B_Iphone6Plus-HCP-400-2014-076-00	15時30分頃に、製造事業所製油一課員が日常点検において窒素供給設備液化窒素貯槽の受入液化窒素上部充てん弁下流の配管より窒素ガスが漏れているのを発見した。
ja-JP-Wavenet-C_Iphone6Plus-HCP-400-2014-076-00	15時30分頃に、製造事業所製油一課員が日常点検において窒素供給設備液化窒素貯槽の受入液化窒素上部充てん弁下流の配管より窒素ガスが漏れているのを発見した。
ja-JP-Wavenet-D_Iphone6Plus-HCP-400-2014-076-00	15時30分頃に、製造事業所製油一課員が日常点検において窒素供給設備液化窒素貯槽の受入液化窒素上部充てん弁下流の配管より窒素ガスが漏れているのを発見した。
ja-JP-Wavenet-A_Iphone6Plus-HCP-400-2014-076-01	ただちに直長、保安係員、に連絡した。
ja-JP-Wavenet-B_Iphone6Plus-HCP-400-2014-076-01	ただちに直長、保安係員、に連絡した。
ja-JP-Wavenet-C_Iphone6Plus-HCP-400-2014-076-01	ただちに直長、保安係員、に連絡した。
ja-JP-Wavenet-D_Iphone6Plus-HCP-400-2014-076-01	ただちに直長、保安係員、に連絡した。
ja-JP-Wavenet-A_Iphone6Plus-HCP-400-2014-076-02	15時35分頃、製油一課直長、保安係員、は当該漏えい部位を確認後、製油一課課長、保安主任者、に連絡し、当該配管の孤立および脱圧を行った、漏れ止め用の応急処置バンドを取り付けた。
ja-JP-Wavenet-B_Iphone6Plus-HCP-400-2014-076-02	15時35分頃、製油一課直長、保安係員、は当該漏えい部位を確認後、製油一課課長、保安主任者、に連絡し、当該配管の孤立および脱圧を行った、漏れ止め用の応急処置バンドを取り付けた。
ja-JP-Wavenet-C_Iphone6Plus-HCP-400-2014-076-02	15時35分頃、製油一課直長、保安係員、は当該漏えい部位を確認後、製油一課課長、保安主任者、に連絡し、当該配管の孤立および脱圧を行った、漏れ止め用の応急処置バンドを取り付けた。
ja-JP-Wavenet-D_Iphone6Plus-HCP-400-2014-076-02	15時35分頃、製油一課直長、保安係員、は当該漏えい部位を確認後、製油一課課長、保安主任者、に連絡し、当該配管の孤立および脱圧を行った、漏れ止め用の応急処置バンドを取り付けた。
